City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
161,Iqaluit,63.7506,-68.5145,29.93,86,90,5.99,CA,2021-10-25 00:49:28,light snow
162,Campo Grande,-20.4428,-54.6464,65.75,82,40,8.05,BR,2021-10-25 00:49:28,scattered clouds
163,Constitucion,-35.3333,-72.4167,54.43,87,0,13.73,CL,2021-10-25 00:45:56,clear sky
164,Pecos,31.4229,-103.4932,85.03,19,1,6.91,US,2021-10-25 00:49:28,clear sky
165,Penzance,50.1186,-5.5371,56.08,86,27,17.02,GB,2021-10-25 00:49:29,scattered clouds
166,Talaya,61.3833,152.75,22.98,80,100,8.95,RU,2021-10-25 00:49:29,overcast clouds
167,Pisco,-13.7,-76.2167,61.02,77,0,16.11,PE,2021-10-25 00:49:30,clear sky
168,Pangody,65.85,74.4859,21.45,87,38,13.51,RU,2021-10-25 00:49:30,scattered clouds
169,Mbarara,-0.608,30.65,61.68,87,88,2.59,UG,2021-10-25 00:49:30,overcast clouds
170,Butka,56.7179,63.7866,38.82,81,6,10.69,RU,2021-10-25 00:49:31,clear sky
171,Talnakh,69.4865,88.3972,27.3,97,100,7.7,RU,2021-10-25 00:49:31,snow
172,Esso,55.9333,158.7,27.09,88,69,4.12,RU,2021-10-25 00:49:31,broken clouds
173,Labuhan,-6.8844,112.2051,84.0,68,92,9.48,ID,2021-10-25 00:49:32,overcast clouds
174,Kuopio,62.8924,27.677,31.95,100,90,9.22,FI,2021-10-25 00:49:32,snow
175,Hammerfest,70.6634,23.6821,27.05,74,0,12.66,NO,2021-10-25 00:49:33,clear sky
176,Pauini,-7.7136,-66.9764,82.13,65,91,2.68,BR,2021-10-25 00:49:33,overcast clouds
177,Aasiaat,68.7098,-52.8699,10.13,98,100,8.84,GL,2021-10-25 00:49:34,overcast clouds
178,Kalianget,-7.05,113.9333,84.56,70,64,5.06,ID,2021-10-25 00:49:34,broken clouds
179,Pacific Grove,36.6177,-121.9166,67.68,84,90,3.0,US,2021-10-25 00:49:34,overcast clouds
180,Mayya,61.7333,130.2811,31.32,97,100,4.65,RU,2021-10-25 00:49:35,light snow
181,Hualmay,-11.0964,-77.6139,63.32,80,46,10.31,PE,2021-10-25 00:48:34,scattered clouds
182,Moissala,8.3404,17.7663,73.04,92,100,3.0,TD,2021-10-25 00:49:35,overcast clouds
183,Port Lincoln,-34.7333,135.8667,59.29,63,0,14.63,AU,2021-10-25 00:46:58,clear sky
184,Sioux Lookout,50.1001,-91.917,35.98,93,20,0.0,CA,2021-10-25 00:47:58,few clouds
185,Merauke,-8.4667,140.3333,85.71,67,100,5.48,ID,2021-10-25 00:49:36,overcast clouds
186,Te Anau,-45.4167,167.7167,63.21,75,100,3.71,NZ,2021-10-25 00:49:36,heavy intensity rain
187,Salalah,17.0151,54.0924,73.49,68,0,3.44,OM,2021-10-25 00:49:37,clear sky
188,Miajadas,39.1513,-5.9084,58.77,46,27,2.17,ES,2021-10-25 00:49:37,scattered clouds
189,Mao,39.8885,4.2658,61.36,94,20,4.61,ES,2021-10-25 00:49:38,few clouds
190,East London,-33.0153,27.9116,58.44,74,1,9.8,ZA,2021-10-25 00:49:38,clear sky
191,Cabo Rojo,18.0866,-67.1457,80.98,84,9,5.53,PR,2021-10-25 00:49:38,clear sky
192,Mendoza,-32.8908,-68.8272,74.73,46,0,0.0,AR,2021-10-25 00:48:41,clear sky
193,Amarante Do Maranhao,-5.5667,-46.7422,75.07,88,25,3.24,BR,2021-10-25 00:49:39,scattered clouds
194,Vanderhoof,54.0166,-124.0198,45.97,67,100,7.25,CA,2021-10-25 00:49:39,light rain
195,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,75.43,95,96,2.08,BR,2021-10-25 00:49:40,overcast clouds
196,Praia,14.9215,-23.5087,77.54,73,20,16.11,CV,2021-10-25 00:49:40,few clouds
197,Hwange,-18.3693,26.5019,75.2,51,55,5.68,ZW,2021-10-25 00:49:40,broken clouds
198,General Roca,-39.0333,-67.5833,70.2,36,100,36.24,AR,2021-10-25 00:49:41,overcast clouds
199,Almaznyy,48.0448,40.045,33.94,79,38,9.24,RU,2021-10-25 00:49:41,scattered clouds
200,Ylivieska,64.0833,24.55,36.32,98,100,7.0,FI,2021-10-25 00:49:41,snow
201,Zhengjiatun,43.5064,123.5064,50.59,74,1,14.0,CN,2021-10-25 00:49:42,clear sky
